"";"id";"dataReferencia";"valor";"quantidadeBeneficiados";"municipio.codigoIBGE";"municipio.nomeRegiao";"municipio.uf.nome";"nome_munic"
"114";104501711;"2020-09-01";2478280;6101;"2901155";"NORDESTE";"BAHIA";"América Dourada"
"115";105501607;"2020-10-01";1720378;5746;"2901155";"NORDESTE";"BAHIA";"América Dourada"
"116";111101642;"2020-11-01";2128109;5915;"2901155";"NORDESTE";"BAHIA";"América Dourada"
"117";105501688;"2020-12-01";2061306;5869;"2901155";"NORDESTE";"BAHIA";"América Dourada"
"118";110901511;"2020-04-01";6148200;8843;"2901205";"NORDESTE";"BAHIA";"Anagé"
"119";107101587;"2020-05-01";6408000;9172;"2901205";"NORDESTE";"BAHIA";"Anagé"
"120";113901624;"2020-06-01";5369400;7607;"2901205";"NORDESTE";"BAHIA";"Anagé"
"121";111401683;"2020-07-01";6390600;9201;"2901205";"NORDESTE";"BAHIA";"Anagé"
"122";110801747;"2020-08-01";6032400;8647;"2901205";"NORDESTE";"BAHIA";"Anagé"
"123";112001711;"2020-09-01";3020450;8512;"2901205";"NORDESTE";"BAHIA";"Anagé"
"124";103501793;"2020-10-01";2256120;8165;"2901205";"NORDESTE";"BAHIA";"Anagé"
"125";106602028;"2020-11-01";2670619;8313;"2901205";"NORDESTE";"BAHIA";"Anagé"
"126";110401798;"2020-12-01";2590483;8250;"2901205";"NORDESTE";"BAHIA";"Anagé"
"127";105501593;"2020-04-01";3860400;5427;"2901304";"NORDESTE";"BAHIA";"Andaraí"
"128";115001602;"2020-05-01";4017000;5605;"2901304";"NORDESTE";"BAHIA";"Andaraí"
"129";106101556;"2020-06-01";3349800;4595;"2901304";"NORDESTE";"BAHIA";"Andaraí"
"130";104701811;"2020-07-01";4092600;5728;"2901304";"NORDESTE";"BAHIA";"Andaraí"
"131";100901809;"2020-08-01";3853200;5377;"2901304";"NORDESTE";"BAHIA";"Andaraí"
"132";102401709;"2020-09-01";1796226;4966;"2901304";"NORDESTE";"BAHIA";"Andaraí"
"133";113901826;"2020-10-01";1252334;4653;"2901304";"NORDESTE";"BAHIA";"Andaraí"
"134";103201810;"2020-11-01";1507735;4732;"2901304";"NORDESTE";"BAHIA";"Andaraí"
"135";112101465;"2020-12-01";1437738;4684;"2901304";"NORDESTE";"BAHIA";"Andaraí"
"136";105301726;"2020-04-01";3903600;5668;"2901353";"NORDESTE";"BAHIA";"Andorinha"
"137";102701746;"2020-05-01";4156800;5972;"2901353";"NORDESTE";"BAHIA";"Andorinha"
"138";105401859;"2020-06-01";3219600;4640;"2901353";"NORDESTE";"BAHIA";"Andorinha"
"139";101701830;"2020-07-01";4144200;6007;"2901353";"NORDESTE";"BAHIA";"Andorinha"
"140";112401986;"2020-08-01";3805200;5499;"2901353";"NORDESTE";"BAHIA";"Andorinha"
"141";108501827;"2020-09-01";2293121;5745;"2901353";"NORDESTE";"BAHIA";"Andorinha"
"142";105501886;"2020-10-01";1605567;5453;"2901353";"NORDESTE";"BAHIA";"Andorinha"
